1,35004,1
2,35005,2
3,35006,3
4,35007,4
5,35010,5
6,35014,6
7,35016,7
8,35019,8
9,35020,9
10,35023,10
11,35031,11
12,35033,12
13,35034,13
14,35035,14
15,35036,15
16,35040,16
17,35042,17
18,35043,18
19,35044,19
20,35045,20
21,35049,21
22,35051,22
23,35052,23
24,35053,24
25,35054,25
26,35055,26
27,35057,26
28,35060,27
29,35061,28
30,35062,29
31,35063,30
32,35064,31
33,35068,32
34,35070,33
35,35071,34
36,35072,35
37,35073,36
38,35074,37
39,35077,38
40,35078,39
41,35079,40
42,35080,41
43,35082,42
44,35083,43
45,35085,44
46,35087,45
47,35089,46
48,35091,47
49,35094,48
50,35096,49
51,35097,50
52,35098,51
53,35111,52
54,35112,53
55,35114,54
56,35115,55
57,35116,56
58,35117,57
59,35118,58
60,35119,59
61,35120,60
62,35121,61
63,35124,62
64,35125,63
65,35126,64
66,35127,65
67,35130,66
68,35131,67
69,35133,68
70,35135,69
71,35136,70
72,35139,71
73,35143,72
74,35146,73
75,35147,74
76,35148,75
77,35149,76
78,35150,77
79,35160,78
80,35171,79
81,35172,80
82,35173,81
83,35175,82
84,35176,83
85,35178,84
86,35179,85
87,35180,86
88,35183,87
89,35184,88
90,35186,89
91,35188,90
92,35203,91
93,35204,91
94,35205,91
95,35206,91
96,35207,91
97,35208,91
98,35211,91
99,35212,91
100,35214,91
101,35217,91
102,35218,91
103,35221,91
104,35222,91
105,35224,91
106,35233,91
107,35234,91
108,35209,92
109,35210,93
110,35213,94
111,35215,95
112,35235,95
113,35216,96
114,35223,97
115,35226,98
116,35228,99
117,35242,100
118,35243,101
119,35244,102
120,35401,103
121,35403,103
122,35405,103
123,35406,103
124,35404,104
125,35441,105
126,35442,106
127,35443,107
128,35444,108
129,35446,109
130,35447,110
131,35452,111
132,35453,112
133,35456,113
134,35457,114
135,35458,115
136,35459,116
137,35460,117
138,35461,118
139,35462,119
140,35463,120
141,35464,121
142,35466,122
143,35469,123
144,35470,124
145,35471,125
146,35474,126
147,35476,127
148,35477,128
149,35480,129
150,35481,130
151,35490,131
152,35501,132
153,35540,133
154,35541,134
155,35542,135
156,35543,136
157,35544,137
158,35545,138
159,35546,139
160,35548,140
161,35549,141
162,35550,142
163,35552,143
164,35553,144
165,35554,145
166,35555,146
167,35559,147
168,35563,148
169,35564,149
170,35565,150
171,35570,151
172,35571,152
173,35572,153
174,35574,154
